,id,name,type,required,formula,is_hidden,visibility_rules,referred_list,lookup_type,lookup_source,lookup_fields,lookup_hidden_fields,lookup_filter,under,Start,Initiate,Goto-Active,Draft,Submit For Review,Approved,Test,Rejected,Goto-Submit For Review,Submit Without Review,Update,Goto-Draft,Draft Approved,Active,Active Step,Submit for review,Reject,Goto-Submit for review,Temp,Adjust,Contract Cancel,Extend,Goto-Extend,Goto-Active Step,Approve,Extend Reject,Renew,Goto-Renew,Renew Approve,Renew Reject,Cancelled Contract,Done,Completed
Actual_Start_Date,Actual_Start_Date,Actual Start Date,Text,False,"if(Date_Diff>0,""TRUE"",""FALSE"")",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Date_Different,Date_Different,Date Different,Date,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Date_1,Date_1,Created Date,Date,False,"date(_created_at.year(),_created_at.month(),_created_at.day())",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Extend_btn,Extend_btn,Extend,Boolean,False,-,False,"Field visibility rules - Match All: 
- Renew_btn EQUAL_TO true-Value
- Cancel_Contract_btn EQUAL_TO true-Value
",-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,Editable,ReadOnly,Hidden,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,Editable,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Renew_btn,Renew_btn,Renew,Boolean,False,-,False,"Field visibility rules - Match All: 
- Extend_btn EQUAL_TO true-Value
- Cancel_Contract_btn EQUAL_TO true-Value
",-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,Editable,ReadOnly,Hidden,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,Editable,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Cancel_Contract_btn,Cancel_Contract_btn,Cancel Contract,Boolean,False,-,False,"Field visibility rules - Match All: 
- Extend_btn EQUAL_TO true-Value
- Renew_btn EQUAL_TO true-Value
",-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,Editable,ReadOnly,Hidden,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,Editable,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Check_Validation,Check_Validation,Check Validation,Text,True,"if(Extend_btn=true() || Renew_btn = true() || Cancel_Contract_btn=true(),""1"",""0"")",True,-,-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,Editable,ReadOnly,Hidden,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,Hidden,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Warning_Message,Warning_Message,Warning Message ***,Text,True,"if(Check_Validation=""0"",""Please choose Extend, Renew or Cancel Contract before click Submit button."","" Please choose Extend, Renew or Cancel Contract before click Submit button."")",True,"Field visibility rules - Match All: 
- Check_Validation EQUAL_TO 0-Value
",-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Editable,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,Editable,ReadOnly,Hidden,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Vendor_Text,Vendor_Text,Vendor Text,Text,False,Vendor.Company_Name,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Test_ID,Test_ID,Contract Instance ID,Text,False,_id,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
SQ_TEST,SQ_TEST,SQ_TEST,SequenceNumber,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Number_Seq,Number_Seq,Number Seq,SequenceNumber,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Contract_Model_Text,Contract_Model_Text,Contract Model Text,Text,False,Contract_Model.Contract_Model_Name,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Department_Text,Department_Text,Department Text,Text,False,Department.Department_Name,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
CM_Seq,CM_Seq,CM Seq,SequenceNumber,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
CMS_Info_Dataset_Key,CMS_Info_Dataset_Key,CMS Info Dataset Key,Text,False,"concatenate(""SAP-"",CM_Seq)",False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Login_User,Login_User,Login User,Reference,False,-,False,-,-,Dataset,CMS_Creator_Group_Dataset,"Name, Department_Name, Team_Name, Contract_Approver_Group, Team_Email, Team_User, Contract_Creator_Group",-,"Filter 1 - (Match All) :
- Team_Email EQUAL_TO Login_User_Email-Field
",Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Login_Approver_Group,Login_Approver_Group,Login Approver Group,Text,False,Login_User.Contract_Approver_Group,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Login_User_Team,Login_User_Team,Login User Team,Text,False,Login_User.Team_Name,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Login_User_Email,Login_User_Email,Login User Email,Text,False,_created_by.Email,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
User_Info,User_Info,User Info,User,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Approver_Group,Approver_Group,Approver Group,User,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Contract_Attachment,Contract_Attachment,Contract Attachment,Attachment,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,Editable,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Login_User_Dept,Login_User_Dept,Login User Dept,Text,False,Login_User.Department_Name,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Contract_Approver_Info,Contract_Approver_Info,Contract Approver Info,Reference,False,-,False,-,-,Dataset,CMS_Approver_Group,"Name, Contract_Approver_Name, Contract_Approver_Email, Contract_Approver_Group, Team_Name, Department_Name, Division_Name, Approvers_Email_Group",-,"Filter 1 - (Match All) :
- Active EQUAL_TO Active-Value
- Contract_Approver_Group EQUAL_TO Login_Approver_Group-Field
",Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Contract_Approver_Name,Contract_Approver_Name,Contract Approver Name,Text,False,Contract_Approver_Info.Team_Name,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Check_Date_Diff_Start_Date_and_End_Date,Check_Date_Diff_Start_Date_and_End_Date,Check Date Diff (Start Date and End Date),Number,False,Ends_Expiration_Date-Starts_Effective_Date,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Work_Notes,Work_Notes,Work Notes,Textarea,False,-,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,Hidden,Editable,Editable,Editable,ReadOnly,Editable,Editable,ReadOnly,Editable,Editable,ReadOnly,Hidden,Editable,ReadOnly,ReadOnly,Editable,Editable,Editable,ReadOnly,ReadOnly,Editable,Editable,Editable,ReadOnly,Editable,Editable,ReadOnly,ReadOnly,ReadOnly
Current_Step,Current_Step,Current Step,Text,False,_current_step,False,-,-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Extension_Option,Extension_Option,Extension Option ,Select,False,-,True,"Field visibility rules - Match All: 
- Do_you_want_to_choose_extension_end_date EQUAL_TO Extension Option-Value
",CMS_Renew_Options,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Extension_End_Date,Extension_End_Date,Extension End Date,Date,False,"if(Extension_Option=""1 years"",Calculated_Ends_Expire_Date_General+365*1,if(Extension_Option=""2 years"",Calculated_Ends_Expire_Date_General+365*2,if(Extension_Option=""3 years"",Calculated_Ends_Expire_Date_General+365*3,if(Extension_Option=""4 years"",Calculated_Ends_Expire_Date_General+365*4,if(Extension_Option=""5 years"",Calculated_Ends_Expire_Date_General+365*5,Calculated_Ends_Expire_Date_General)))))

",True,"Field visibility rules - Match All: 
- Do_you_want_to_choose_extension_end_date EQUAL_TO Extension Option-Value
",-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Extend_Cost_adjustment_type,Extend_Cost_adjustment_type,Cost Adjustment Type,Select,False,-,False,-,Cost_adjustment_type,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Extend_Cost_Adjustment,Extend_Cost_Adjustment,Cost Adjustment Amount,Number,False,-,True,"Field visibility rules - Match All: 
- Could_you_please_select_cost_adjustment_amount_or_percentage EQUAL_TO Amount-Value
",-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Extend_Cost_Adjustment_percent,Extend_Cost_Adjustment_percent,Cost Adjustment Percentage,Number,False,-,True,"Field visibility rules - Match All: 
- Could_you_please_select_cost_adjustment_amount_or_percentage EQUAL_TO Percentage-Value
",-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Renew_Options,Renew_Options,Renew Options,Select,False,-,False,-,CMS_Renew_Options,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Renew_Cost_adjustment_type,Renew_Cost_adjustment_type,Cost adjustment type,Select,False,-,False,-,Cost_adjustment_type,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Renew_Cost_adjustment_percentage,Renew_Cost_adjustment_percentage,Cost adjustment percentage,Number,False,-,True,"Field visibility rules - Match All: 
- Could_you_please_select_cost_adjustment_amount_or_percentage_ren EQUAL_TO Percentage-Value
",-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Renew_Cost_adjustment_amount,Renew_Cost_adjustment_amount,Cost adjustment amount,Number,False,-,True,"Field visibility rules - Match All: 
- Could_you_please_select_cost_adjustment_amount_or_percentage_ren EQUAL_TO Amount-Value
",-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Choose_Extension_End_Date,Choose_Extension_End_Date,Extension End Date,Date,False,-,True,"Field visibility rules - Match All: 
- Do_you_want_to_choose_extension_end_date EQUAL_TO Extension End Date-Value
",-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Do_you_want_to_choose_extension_end_date,Do_you_want_to_choose_extension_end_date,Please choose one of the extension method.,Select,True,-,False,-,CMS_extension_method,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Updated_Ends_Expiration_Date,Updated_Ends_Expiration_Date,Renew/Extend (Expiration Date),Date,False,-,True,"Field visibility rules - Match All: 
- Calculated_Extend_End_Date NOT_EMPTY -Value
- Calculated_Renew_End_Date_General NOT_EMPTY -Value
- Current_Step NOT_EQUAL_TO Active-Value
Match All: 
- Current_Step EQUAL_TO Active-Value
- Current_Step EQUAL_TO Rejected-Value
- Current_Step EQUAL_TO Start-Value
- Current_Step EQUAL_TO Draft-Value
- Current_Step EQUAL_TO Reject-Value
",-,-,-,-,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
Ends_Expiration_Date_Updated,Ends_Expiration_Date_Updated,Renewal/Extension date,Date,False,-,False,"Field visibility rules - Match All: 
- Calculated_Extend_End_Date NOT_EMPTY -Value
- Calculated_Renew_End_Date_General NOT_EMPTY -Value
",-,-,-,-,-,-,Contract Management ,Hidden,ReadOnly,ReadOnly,Hidden,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,Hidden,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
get_date,get_date,get date,Reference,False,-,False,-,-,Dataset,CMS_Extend_or_Renew_Date,Name,-,-,Contract Management ,ReadOnly,ReadOnly,ReadOnly,Editable,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly,ReadOnly
